"","Gleba","Ponto","Ano","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"744",4,23,2010,0.57464347826087,0.359886956521739,4.6,29,13,0.7,5,2,67,11.7,17,0.11,3.4,15,5.6,0.5
"745",4,23,2011,0.560608695652174,0.352230434782609,4.6,29,13,0.7,5,2,67,11.7,17,0.11,3.4,15,5.6,0.5
"746",4,23,2012,0.61475652173913,0.391991304347826,4.9,34,14,0.5,19,3,70,31.2,63,0.26,2.3,13,2.9,0.3
"747",4,23,2013,0.621291304347826,0.417917391304348,4.9,34,14,0.5,19,3,70,31.2,63,0.26,2.3,13,2.9,0.3
"748",4,23,2014,0.596034782608696,0.395178260869565,4.7,29,16,0.5,15,3,68,26.8,114,0.25,3.1,17,6.8,1.9
"749",4,23,2015,0.648539130434783,0.424921739130435,4.9,35,14,0.8,21,5,70,37.9,84,0.26,3.6,20,11.8,0.6
"750",4,23,2016,0.608547826086957,0.3921,5.1,34,28,0.8,33,9,84,51.4,57,0.22,3.8,33,10,0.7
"751",4,24,2010,0.543969565217391,0.332382608695652,4.7,38,20,0.5,6,2,74,11.4,18,0.15,3.8,18,6.1,1.1
"752",4,24,2011,0.542813043478261,0.341965217391304,4.7,38,20,0.5,6,2,74,11.4,18,0.15,3.8,18,6.1,1.1
"753",4,24,2012,0.588452173913043,0.380178260869565,4.7,36,8,1,12,2,67,22.2,62,0.23,2.6,12,4,0.2
"754",4,24,2013,0.602326086956522,0.406830434782609,4.7,36,8,1,12,2,67,22.2,62,0.23,2.6,12,4,0.2
"755",4,24,2014,0.59255652173913,0.393991304347826,5,32,17,0.5,22,4,73,35.8,84,0.22,3.1,17,5.5,3.4
"756",4,24,2015,0.62305652173913,0.41915652173913,5,39,12,1.1,26,5,83,38.7,86,0.31,3.3,18,6.4,0.6
"757",4,24,2016,0.546430434782609,0.356682608695652,4.9,35,15,1.3,26,8,86,40.5,118,0.22,3.5,30,10.6,0.7
"758",4,25,2010,0.498378260869565,0.302808695652174,4.7,29,17,0.9,8,3,68,16.9,21,0.11,3.7,16,7.3,0.6
"759",4,25,2011,0.525069565217391,0.357813043478261,4.7,29,17,0.9,8,3,68,16.9,21,0.11,3.7,16,7.3,0.6
"760",4,25,2012,0.579513043478261,0.3975,5,37,10,0.6,20,3,72,32.6,81,0.28,3,13,3.7,0.3
"761",4,25,2013,0.574147826086956,0.409539130434783,5,37,10,0.6,20,3,72,32.6,81,0.28,3,13,3.7,0.3
"762",4,25,2014,0.573186956521739,0.398569565217391,4.9,31,17,0.8,20,5,70,36,85,0.23,3.5,16,5.6,1.5
"763",4,25,2015,0.603521739130435,0.416469565217391,5.1,38,10,1.1,26,6,76,43.1,73,0.28,3.6,18,6.1,0.6
"764",4,25,2016,0.513121739130435,0.344669565217391,5.2,38,23,1.3,32,13,85,53.9,66,0.19,4.4,34,12,0.8
"765",4,26,2010,0.477139130434783,0.306578260869565,5.2,36,20,1.1,16,6,67,34.9,11,0.13,3.1,15,5.6,0.4
"766",4,26,2011,0.525182608695652,0.339860869565217,5.2,36,20,1.1,16,6,67,34.9,11,0.13,3.1,15,5.6,0.4
"767",4,26,2012,0.577460869565217,0.402586956521739,4.8,32,11,0.9,18,4,73,30.2,66,0.27,2.8,13,5.5,0.3
"768",4,26,2013,0.573478260869565,0.410865217391304,4.8,32,11,0.9,18,4,73,30.2,66,0.27,2.8,13,5.5,0.3
"769",4,26,2014,0.569026086956522,0.399526086956522,5,31,19,0.5,23,5,70,40.3,78,0.26,2.5,13,4.4,1.3
"770",4,26,2015,0.593430434782609,0.403986956521739,5.6,45,16,1,46,10,92,61.8,35,0.32,3.5,20,7.7,0.4
"771",4,26,2016,0.508669565217391,0.334269565217391,5.2,38,28,1.3,35,12,86,55.9,41,0.23,3.9,30,11.1,0.9
"772",4,27,2010,0.485073913043478,0.299060869565217,5,29,10,1.3,10,5,67,24.2,13,0.14,3.1,14,6.5,0.3
"773",4,27,2011,0.515604347826087,0.325960869565217,5,29,10,1.3,10,5,67,24.2,13,0.14,3.1,14,6.5,0.3
"774",4,27,2012,0.570452173913043,0.373473913043478,5.3,41,20,1.7,28,11,86,46.5,70,0.25,3,12,2.6,0.2
"775",4,27,2013,0.565365217391304,0.379886956521739,5.3,41,20,1.7,28,11,86,46.5,70,0.25,3,12,2.6,0.2
"776",4,27,2014,0.54965652173913,0.36625652173913,5.2,35,27,0.7,29,9,78,49.7,61,0.25,2.6,14,3.5,0.7
"777",4,27,2015,0.586330434782609,0.378308695652174,5.2,39,17,1,39,8,99,48.6,59,0.32,3.7,19,4.7,0.3
"778",4,27,2016,0.51024347826087,0.323595652173913,5.1,33,18,1.4,30,10,80,50.2,53,0.2,3.2,22,8.5,0.5
"779",4,28,2010,0.519852173913044,0.324934782608696,5.2,39,4,1.2,14,8,69,33.6,16,0.13,3.1,15,3,0.4
