"","Gleba","Ponto","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"39",2,9,0.574097584541063,0.374433333333333,5.6,28.7777777777778,11.2222222222222,1.83333333333333,42.5555555555556,15.6666666666667,88.6666666666667,65.3333333333333,35.8888888888889,0.246666666666667,1.64444444444444,17.4444444444444,26.0444444444444,0.666666666666667
"40",2,10,0.550792753623188,0.358703381642512,5.36666666666667,29.6666666666667,22.4444444444444,1.03333333333333,23.3333333333333,9.88888888888889,69.1111111111111,48.3555555555556,21.5555555555556,0.2,2.93333333333333,19.2222222222222,9.74444444444444,0.255555555555556
"41",2,11,0.544748792270531,0.354879710144928,4.93333333333333,30.3333333333333,17.5555555555556,0.933333333333333,19.5555555555556,9,74.3333333333333,39.4888888888889,23.6666666666667,0.308888888888889,3.1,14.6666666666667,13.4111111111111,0.555555555555556
"42",2,12,0.543251690821256,0.363426570048309,4.83333333333333,25.7777777777778,12.8888888888889,0.666666666666667,13.2222222222222,6,60.3333333333333,31.7333333333333,30.4444444444444,0.244444444444444,2.54444444444444,13.8888888888889,7.46666666666667,0.366666666666667
"43",2,13,0.365149275362319,0.365149275362319,4.88888888888889,28.6666666666667,11.2222222222222,0.655555555555556,19.3333333333333,6.33333333333333,69.4444444444444,38,31.7777777777778,0.236666666666667,2.33333333333333,13.2222222222222,7.01111111111111,0.288888888888889
"44",2,14,0.534255555555556,0.358142995169082,4.84444444444444,28.7777777777778,8.77777777777778,0.777777777777778,15.3333333333333,7,65.8888888888889,33.4222222222222,28.2222222222222,0.266666666666667,2.77777777777778,13.2222222222222,8.97777777777778,0.411111111111111
"45",2,15,0.533999516908213,0.356635748792271,4.96666666666667,30.8888888888889,11.5555555555556,0.833333333333333,22.5555555555556,7.11111111111111,76.6666666666667,38.9555555555556,36.1111111111111,0.253333333333333,2.36666666666667,14.7777777777778,7.97777777777778,0.322222222222222
"46",2,16,0.544357004830918,0.359346376811594,4.87777777777778,29.6666666666667,12.7777777777778,0.622222222222222,16.8888888888889,5.44444444444444,69.6666666666667,31.2777777777778,23.1111111111111,0.216666666666667,2.47777777777778,14.6666666666667,8.83333333333333,0.366666666666667
"47",2,17,0.552250724637681,0.369107729468599,5.03333333333333,30,11.6666666666667,0.711111111111111,21.7777777777778,6.22222222222222,71.6666666666667,39.8888888888889,46.2222222222222,0.23,2.37777777777778,14,6.95555555555556,0.355555555555556
"48",2,18,0.520059903381643,0.337675845410628,5.01111111111111,31.5555555555556,13,0.722222222222222,18.8888888888889,7.77777777777778,74,36.5444444444444,20,0.193333333333333,2.58888888888889,14.5555555555556,7.6,0.344444444444444
"49",2,19,0.521986956521739,0.336326570048309,5.01111111111111,28.5555555555556,13.7777777777778,1.42222222222222,19.6666666666667,8.22222222222222,71.2222222222222,41.2333333333333,25.3333333333333,0.217777777777778,2.68888888888889,13.5555555555556,7.21111111111111,0.522222222222222
